token,freq_const,freq_cases
법률,118,20730
대통령,80,2155
국가,71,9060
국회,67,4376
국민,65,7891
헌법,37,20425
필요,29,6669
선거,26,10509
기타,25,1271
의원,24,3449
사항,23,2757
보장,22,5855
법관,21,1048
국무,21,180
위원,20,1339
회의,20,732
권리,19,4440
자유,18,9365
정당,18,6020
의무,18,4770
이상,18,4021
정부,18,1318
조직,18,810
법원,17,4608
범위,16,4101
단체,16,4042
경제,16,2221
직무,16,1886
의결,16,868
보호,15,5284
임명,15,409
국무총리,15,202
정책,14,1717
재적,14,177
재판소,13,2693
행정,13,2599
요구,13,2435
관리,13,2076
노력,13,435
임기,13,326
공무원,12,4235
국회의원,12,827
출석,12,299
찬성,12,282
과반수,12,126
자문,12,45
재판,11,3679
처분,11,2687
탄핵,11,818
동의,11,733
조약,11,138
심판,10,10634
재판관,10,3701
교육,10,2979
집회,10,2094
권한,10,1671
중요,10,1420
행위,9,10575
절차,9,4719
위원회,9,3088
명령,9,1905
근로,9,1573
대한민국,9,864
법률안,9,605
체포,9,397
국정,9,364
공포,9,180
기본,8,6441
인정,8,5779
정치,8,3999
형사,8,3533
지방,8,2823
자치,8,2518
구속,8,1658
안전,8,1547
확정,8,1521
구성,8,1373
제출,8,1216
효력,8,1172
사무,8,630
통일,8,625
대법원장,8,106
각부,8,44
사회,7,5434
이유,7,4554
질서,7,2370
유지,7,2305
생활,7,1776
투표,7,1593
민주,7,1476
공개,7,1136
감사,7,1070
군사,7,691
평화,7,377
수립,7,328
국무위원,7,9
제한,6,9884
침해,6,9019
결정,6,8943
청구,6,6771
개정,6,5002
기관,6,4430
제청,6,2611
피고인,6,1883
제정,6,1666
특별,6,1573
자격,6,1278
규칙,6,1085
처리,6,1044
재정,6,922
개발,6,854
소추,6,739
의장,6,543
승인,6,422
회계,6,311
지체,6,171
예산안,6,31
내용,5,6257
제도,5,5803
기간,5,4408
재산,5,3195
이익,5,2532
이용,5,2464
심사,5,2114
운영,5,1872
제외,5,1540
심의,5,1533
균형,5,1533
중대,5,1202
계획,5,1176
공공,5,1043
진술,5,1016
언론,5,939
이내,5,881
발전,5,782
군인,5,660
출판,5,577
선출,5,536
회기,5,529
해산,5,491
계엄,5,356
예산,5,328
감사원,5,263
각급,5,145
육성,5,128
연도,5,75
총리,5,71
재의,5,40
중임,5,2
규정,4,16876
목적,4,7205
범죄,4,4029
관계,4,3831
평등,4,3211
선고,4,2964
다음,4,2720
책임,4,2289
근로자,4,2192
집행,4,2187
판결,4,2086
수행,4,1762
검사,4,1747
부담,4,1582
규율,4,1116
변호인,4,1053
보상,4,1041
조건,4,1013
비밀,4,682
선포,4,614
타인,4,612
체결,4,531
긴급,4,492
내부,4,397
영장,4,384
향상,4,377
대법원,4,313
임시회,4,233
파면,4,229
발의,4,178
비상계엄,4,162
지출,4,155
개정안,4,154
저촉,4,145
국군,4,82
농지,4,32
사면,4,9
원로,4,1
입법,3,7536
여부,3,7167
의견,3,5684
처벌,3,4524
개인,3,3712
일반,3,3688
방법,3,3324
행사,3,3133
사유,3,2861
활동,3,2283
조치,3,2154
양심,3,1973
지위,3,1582
신체,3,1517
위임,3,1499
대통령령,3,1383
인간,3,1266
증거,3,1227
영역,3,1049
문화,3,1042
계약,3,980
행동,3,932
금고,3,909
설치,3,877
환경,3,825
존엄,3,782
구금,3,767
외국,3,711
신분,3,681
현행,3,638
중앙,3,623
조정,3,608
종교,3,596
상호,3,553
배상,3,528
주거,3,523
중립,3,495
문서,3,494
국제,3,479
보고,3,471
복지,3,453
개시,3,447
강화,3,423
임금,3,380
보전,3,337
국방,3,289
결사,3,288
국토,3,270
증진,3,262
불리,3,261
해제,3,261
수색,3,196
편성,3,184
선전,3,177
범인,3,172
안녕,3,163
자원,3,155
만료,3,154
압수,3,145
제안,3,118
대외,3,98
제소,3,93
해임,3,89
군사법원,3,60
건의,3,54
총장,3,49
결산,3,44
군무원,3,32
지명,3,30
청원,3,27
복권,3,25
연임,3,25
원장,3,18
영전,3,12
감형,3,11
정부위원,3,4
원칙,2,9137
위반,2,8231
위헌,2,7024
관련,2,4881
이하,2,3728
기준,2,3411
후보자,2,3064
의사,2,2990
발생,2,2839
신청,2,2622
포함,2,2602
운동,2,2509
시설,2,2258
차별,2,2229
위배,2,2155
달성,2,2149
상황,2,1912
시행,2,1882
대표,2,1823
규제,2,1747
소원,2,1562
지역,2,1558
가족,2,1548
전제,2,1535
그러,2,1517
사법,2,1500
피해자,2,1445
통신,2,1404
법령,2,1369
능력,2,1360
변경,2,1357
취득,2,1356
허가,2,1300
이행,2,1136
이전,2,1130
적법,2,1096
부당,2,1078
불법,2,1075
기회,2,1074
교섭,2,1059
조사,2,1025
피해,2,917
가입,2,852
어떠,2,844
의회,2,834
고용,2,832
독립,2,817
구조,2,782
상실,2,782
안정,2,763
준수,2,716
관여,2,702
적정,2,688
자율,2,677
기업,2,615
남용,2,607
제시,2,568
징계,2,565
관할,2,548
발언,2,542
주권,2,527
민족,2,520
손해,2,518
지시,2,514
명예,2,508
유죄,2,483
자주,2,476
심리,2,464
조력,2,439
우선,2,434
장기,2,398
단결,2,394
경영,2,383
무죄,2,368
공공복리,2,345
파견,2,329
처우,2,322
면제,2,304
최고,2,304
현역,2,301
공고,2,289
외교,2,277
균등,2,269
공급,2,246
경비,2,245
복리,2,237
생산,2,218
보통,2,208
과학,2,207
방위,2,193
답변,2,174
염려,2,166
발부,2,162
여자,2,112
군경,2,92
농업,2,80
정기회,2,74
중소기업,2,74
이송,2,72
자백,2,53
당선자,2,53
행정심판,2,53
기업체,2,52
직전,2,50
영토,2,49
부의장,2,48
고문,2,47
음식물,2,42
보좌,2,38
경제상,2,34
조국,2,33
수여,2,33
세입,2,30
평생,2,29
선서,2,28
궐위,2,22
보위,2,21
세출,2,21
초소,2,20
창달,2,19
참모,2,19
외환,2,18
비준,2,17
포고,2,15
초병,2,9
예비비,2,8
훈장,2,7
후임자,2,7
어민,2,2
사건,1,22127
대상,1,10736
금지,1,6312
정보,1,4726
해당,1,4703
가능,1,4305
구체,1,3135
학교,1,2559
결과,1,2520
합리,1,2484
형성,1,2395
요건,1,2370
사용,1,2265
확인,1,2262
기능,1,2017
공정,1,1892
위험,1,1854
특정,1,1822
선택,1,1811
사업,1,1810
자신,1,1809
방송,1,1783
다수,1,1773
강제,1,1754
비례,1,1750
병역,1,1743
일정,1,1733
공직,1,1715
지원,1,1699
방지,1,1695
사정,1,1692
가치,1,1677
주민,1,1675
민주주의,1,1663
교원,1,1635
본질,1,1635
부여,1,1603
소송,1,1594
선거구,1,1591
상태,1,1520
동일,1,1511
개선,1,1428
전문,1,1422
혼인,1,1409
직업,1,1396
종합,1,1386
한계,1,1382
일부,1,1380
실시,1,1375
당시,1,1289
주체,1,1265
수용,1,1187
전체,1,1166
소득,1,1159
당해,1,1151
참여,1,1134
상당,1,1083
지급,1,1065
피의자,1,1038
퇴직,1,1002
시장,1,1000
신문,1,971
청소년,1,964
주택,1,960
소속,1,954
장소,1,952
정지,1,929
기초,1,926
자의,1,910
기소,1,894
평가,1,882
자기,1,868
설립,1,848
적합,1,841
특수,1,836
자녀,1,827
대학,1,815
금액,1,813
추구,1,801
권력,1,798
계속,1,767
건강,1,755
형태,1,754
생명,1,736
조세,1,735
사고,1,731
법규,1,728
종류,1,727
예방,1,722
존중,1,710
작성,1,697
박탈,1,673
구성원,1,654
자금,1,641
기술,1,639
추정,1,637
초과,1,632
공무,1,628
쟁의,1,623
서류,1,615
표시,1,606
건전,1,600
당선,1,596
추가,1,595
종사,1,593
사망,1,581
신속,1,569
폐지,1,565
보건,1,564
경과,1,560
최소한,1,560
제약,1,550
윤리,1,544
사생활,1,540
명시,1,538
회복,1,536
효율,1,531
통제,1,531
부인,1,530
인권,1,519
표결,1,517
증인,1,515
가격,1,514
재산권,1,512
통상,1,511
도모,1,509
경찰,1,489
재외,1,483
주요,1,468
거주,1,455
유통,1,453
고지,1,442
사안,1,442
사상,1,441
외국인,1,437
유공자,1,437
성립,1,431
방해,1,426
소급,1,423
조화,1,417
증가,1,414
지배,1,401
선거일,1,397
대행,1,392
선임,1,389
담임,1,384
사후,1,366
국내,1,359
준용,1,358
확립,1,358
수급,1,356
즉시,1,350
연장,1,344
불가피,1,343
수호,1,341
표준,1,341
소비자,1,340
친족,1,337
검열,1,335
재해,1,331
위원장,1,331
직권,1,327
획정,1,319
진흥,1,307
성실,1,305
민사,1,296
분리,1,285
강요,1,281
기밀,1,280
내란,1,280
질병,1,279
공사,1,273
행복,1,272
전쟁,1,270
납세,1,270
기반,1,270
모두,1,268
추진,1,267
복수,1,267
석방,1,267
훈련,1,266
수반,1,265
최종,1,264
예술,1,259
검찰,1,259
수정,1,258
일시,1,256
기구,1,248
지향,1,246
통지,1,237
계급,1,233
행정부,1,233
인용,1,225
재직,1,221
성장,1,219
양성,1,215
정년,1,210
병력,1,208
이의,1,207
인력,1,207
열거,1,201
배정,1,199
공표,1,196
자연,1,194
사형,1,189
모집,1,187
위탁,1,187
폭행,1,181
보안처분,1,180
제고,1,178
협박,1,176
위기,1,171
의안,1,169
증언,1,168
감찰,1,164
계승,1,163
세율,1,160
입각,1,158
알선,1,156
년도,1,155
촉구,1,154
취임,1,148
폐기,1,144
전시,1,144
특허,1,144
회부,1,143
행정기관,1,141
권익,1,139
소관,1,136
학문,1,135
보조,1,133
봉사자,1,130
분배,1,125
상이,1,124
총수,1,124
접수,1,124
무상,1,123
공유,1,123
경제력,1,122
노인,1,121
한반도,1,118
예우,1,118
인멸,1,112
유일,1,111
통고,1,111
특권,1,110
장해,1,110
임대차,1,104
참정,1,103
분석,1,101
적부,1,99
정식,1,98
풍속,1,98
신임,1,97
주류,1,94
책무,1,94
합동,1,93
최저,1,92
국유재산,1,92
창설,1,90
소비,1,90
주재,1,88
심문,1,87
노령,1,85
군대,1,83
전투,1,81
총액,1,79
공화국,1,77
군용,1,76
창의,1,75
제명,1,73
불가침,1,72
임면,1,72
사명,1,71
국유,1,69
질문,1,67
순서,1,67
항의,1,66
관장,1,65
직위,1,64
비상사태,1,62
심신,1,61
침략,1,59
사변,1,58
응답,1,57
직책,1,57
부속,1,55
여유,1,55
부결,1,53
인과,1,52
인의,1,51
부서,1,50
선량,1,50
노역,1,49
공중도덕,1,49
상고심,1,49
대학교,1,48
인명부,1,48
기술자,1,47
통수,1,47
국제법,1,46
청렴,1,46
감사원장,1,45
득표수,1,44
부령,1,44
산업체,1,42
원수,1,42
경시,1,41
도피,1,37
쾌적,1,37
그때,1,37
지하,1,37
국립,1,35
관리자,1,35
공공필요,1,34
장애자,1,34
전통문화,1,32
폐회,1,32
경정,1,32
유가족,1,30
혁신,1,29
전년도,1,28
기망,1,27
채취,1,27
신성,1,26
초등,1,26
모성,1,26
전몰,1,25
가부,1,25
국내법,1,23
즈음,1,23
사절,1,23
안위,1,23
전심,1,23
유전,1,22
품질,1,22
종목,1,21
통할,1,21
정직,1,21
농수산물,1,20
우호,1,19
무역,1,19
득표자,1,18
전직,1,18
저작자,1,14
차기,1,14
항해,1,12
동수,1,10
교전,1,10
국영,1,10
호선,1,10
연소자,1,9
천재,1,9
수산,1,9
사영,1,9
투표자,1,9
원조,1,8
대사,1,8
감봉,1,8
어업,1,8
발명가,1,7
간첩죄,1,7
국교,1,6
계도,1,6
환부,1,5
연한,1,5
지변,1,5
서한,1,4
소작,1,4
자조,1,4
예술가,1,3
경비계엄,1,3
경자,1,3
생산품,1,3
어촌,1,2
의서,1,1
국채,1,1
내우,1,1
포로,1,1
광물,1,1
수력,1,1
